Start	Stop	Orientation	Length	LocusID	Class	Product	Note	SignalPeptide
1035676	1036824	-	1149	Amuc_0867	CDS	peptidase M42 family protein	PFAM: peptidase M18 aminopeptidase I; peptidase M20; peptidase M42 family protein; KEGG: chu:CHU_1401 M42 glutamyl aminopeptidase	-
1036915	1038564	-	1650	Amuc_0868	CDS	Beta-N-acetylhexosaminidase	PFAM: Beta-N-acetylhexosaminidase-like; Glycoside hydrolase, family 20, catalytic core; KEGG: pgi:PG0043 beta-hexosaminidase	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.990) with cleavage site probability 0.505 at residue 21
1038694	1039884	+	1191	Amuc_0869	CDS	conserved hypothetical protein	KEGG: drm:Dred_1349 hypothetical protein	-
1039893	1041038	-	1146	Amuc_0870	CDS	Alkaline phosphatase	PFAM: Alkaline phosphatase; KEGG: bfr:BF1756 alkaline phosphatase	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.999) with cleavage site probability 0.981 at residue 23
1041128	1041541	-	414	Amuc_0871	CDS	large conductance mechanosensitive channel protein	TIGRFAM: large conductance mechanosensitive channel protein; PFAM: large-conductance mechanosensitive channel; KEGG: pgi:PG1330 large conductance mechanosensitive channel protein	-
1041730	1042986	+	1257	Amuc_0872	CDS	acetylornithine and succinylornithine aminotransferase	TIGRFAM: acetylornithine and succinylornithine aminotransferase; PFAM: aminotransferase class-III; KEGG: mta:Moth_2287 acetylornithine and succinylornithine aminotransferases	-
1043014	1043472	+	459	Amuc_0873	CDS	amino acid-binding ACT	KEGG: swo:Swol_0816 amino acid-binding ACT	-
1043596	1044162	+	567	Amuc_0874	CDS	Elongation factor P	PFAM: Elongation factor P/YeiP protein; Elongation factor P; KEGG: sus:Acid_3676 translation elongation factor P	-
1044268	1045209	-	942	Amuc_0875	CDS	glycoside hydrolase family 16	PFAM: glycoside hydrolase family 16; KEGG: bth:BT_3683 beta-glucanase precursor	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.998 at residue 23
1045389	1047641	+	2253	Amuc_0876	CDS	heavy metal translocating P-type ATPase	TIGRFAM: ATPase, P-type (transporting), HAD superfamily, subfamily IC; copper-translocating P-type ATPase; heavy metal translocating P-type ATPase; PFAM: Haloacid dehalogenase domain protein hydrolase; Heavy metal transport/detoxification protein; E1-E2 ATPase-associated domain protein; KEGG: aoe:Clos_0054 copper-translocating P-type ATPase	-
1047672	1049330	-	1659	Amuc_0877	CDS	DNA repair protein RecN	TIGRFAM: DNA repair protein RecN; PFAM: SMC domain protein; KEGG: gme:Gmet_0942 DNA repair protein RecN	-
1049383	1050168	+	786	Amuc_0878	CDS	beta-lactamase domain protein	PFAM: beta-lactamase domain protein; KEGG: pca:Pcar_0199 phosphonate metabolism	-
1050194	1050991	+	798	Amuc_0879	CDS	glycosyl transferase, WecB/TagA/CpsF family	TIGRFAM: glycosyl transferase, WecB/TagA/CpsF family; PFAM: glycosyl transferase WecB/TagA/CpsF; KEGG: tel:tlr1434 probable UDP-N-acetyl-D-mannosaminuronic acid transferase	-
1051143	1051847	+	705	Amuc_0880	CDS	protein of unknown function DUF419	PFAM: protein of unknown function DUF419; KEGG: fnu:FN0897 hypothetical cytosolic protein	-
1051895	1052278	+	384	Amuc_0881	CDS	hypothetical protein	KEGG: ehi:83.t00011 conserved hypothetical protein Pfam: C_GCAxxG_C_C	-
1052357	1052686	+	330	Amuc_0882	CDS	hypothetical protein	KEGG: pat:Patl_3865 late embryogenesis abundant protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.950 at residue 22
1052721	1052909	+	189	Amuc_0883	CDS	hypothetical protein	-	-
1053001	1053864	-	864	Amuc_0884	CDS	protein of unknown function DUF1009	PFAM: protein of unknown function DUF1009; KEGG: dvl:Dvul_0897 protein of unknown function DUF1009	-
1053894	1055168	-	1275	Amuc_0885	CDS	catalytic domain of components of various dehydrogenase complexes	PFAM: biotin/lipoyl attachment domain-containing protein; catalytic domain of components of various dehydrogenase complexes; KEGG: ttj:TTHA0184 branched-chain alpha-keto acid dehydrogenase subunit E2	-
1055187	1056161	-	975	Amuc_0886	CDS	Transketolase central region	PFAM: Transketolase central region; Transketolase domain protein; KEGG: cau:Caur_3122 transketolase central region	-
1056183	1057121	-	939	Amuc_0887	CDS	dehydrogenase E1 component	PFAM: dehydrogenase E1 component; KEGG: sus:Acid_0352 pyruvate dehydrogenase (acetyl-transferring)	-
1057369	1058181	-	813	Amuc_0888	CDS	transcriptional regulator, MerR family	PFAM: regulatory protein MerR; KEGG: smu:SMU.2058 putative transcriptional regulator	-
1058478	1059632	+	1155	Amuc_0889	CDS	efflux transporter, RND family, MFP subunit	TIGRFAM: efflux transporter, RND family, MFP subunit; PFAM: secretion protein HlyD family protein; KEGG: pau:PA14_38395 periplasmic multidrug efflux lipoprotein precursor	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.924) with cleavage site probability 0.833 at residue 24
1059639	1062743	+	3105	Amuc_0890	CDS	transporter, hydrophobe/amphiphile efflux-1 (HAE1) family	TIGRFAM: transporter, hydrophobe/amphiphile efflux-1 (HAE1) family; PFAM: acriflavin resistance protein; KEGG: pap:PSPA7_3270 RND multidrug efflux transporter	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.939) with cleavage site probability 0.764 at residue 34
1063171	1063773	+	603	Amuc_0891	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.880 at residue 30
1063785	1066232	+	2448	Amuc_0892	CDS	outer membrane autotransporter barrel domain protein	TIGRFAM: polymorphic outer membrane protein; outer membrane autotransporter barrel domain protein; PFAM: Autotransporter beta- domain protein; KEGG: cpt:CpB0467 outer membrane protein 5	-
1066280	1066723	+	444	Amuc_0893	CDS	conserved hypothetical protein	KEGG: chu:CHU_3531 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.999 at residue 22
1066958	1067716	-	759	Amuc_0894	CDS	peptidase membrane zinc metallopeptidase putative	PFAM: peptidase membrane zinc metallopeptidase putative; KEGG: pdi:BDI_3783 hypothetical protein	-
1067831	1068289	-	459	Amuc_0895	CDS	conserved hypothetical protein	KEGG: chu:CHU_3531 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 1.000 at residue 22
1068430	1069950	+	1521	Amuc_0896	CDS	uroporphyrin-III C-methyltransferase	TIGRFAM: uroporphyrin-III C-methyltransferase; PFAM: Uroporphyrin-III C/tetrapyrrole (Corrin/Porphyrin) methyltransferase; Uroporphyrinogen III synthase HEM4; KEGG: hmo:HM1_1966 uroporphyrinogen III synthase/methyltransferase	-
1070019	1070456	-	438	Amuc_0897	CDS	hypothetical protein	KEGG: afw:Anae109_1382 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.965) with cleavage site probability 0.492 at residue 20
1070694	1073303	+	2610	Amuc_0898	CDS	DNA topoisomerase III	KEGG: azo:azo0095 DNA topoisomerase III; TIGRFAM: DNA topoisomerase III; PFAM: TOPRIM domain protein; DNA topoisomerase type IA central domain protein; SMART: DNA topoisomerase I ATP-binding; DNA topoisomerase I DNA-binding; Toprim sub domain protein	-
1073416	1074588	+	1173	Amuc_0899	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.860) with cleavage site probability 0.601 at residue 22
1074810	1075241	-	432	Amuc_0900	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.993) with cleavage site probability 0.528 at residue 26
1075265	1075669	-	405	Amuc_0901	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.979) with cleavage site probability 0.979 at residue 22
1075859	1076291	-	433	Amuc_0902	pseduogene	pseduogene	-	-
1076612	1077277	-	666	Amuc_0903	CDS	N-acetylmuramoyl-L-alanine amidase family 2	PFAM: N-acetylmuramoyl-L-alanine amidase family 2; KEGG: pth:PTH_2173 putative peptidoglycan-binding domain-containing protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.604) with cleavage site probability 0.353 at residue 24
1077467	1080220	-	2754	Amuc_0904	CDS	aconitate hydratase 1	TIGRFAM: aconitate hydratase 1; PFAM: aconitate hydratase domain protein; KEGG: tbd:Tbd_0891 aconitate hydratase 1	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.991) with cleavage site probability 0.991 at residue 27
1080489	1081052	+	564	Amuc_0905	CDS	ErfK/YbiS/YcfS/YnhG family protein	PFAM: ErfK/YbiS/YcfS/YnhG family protein; KEGG: atc:AGR_C_2380 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.996) with cleavage site probability 0.812 at residue 22
1081425	1082552	-	1128	Amuc_0906	CDS	methionine-R-sulfoxide reductase	TIGRFAM: peptide methionine sulfoxide reductase; methionine-R-sulfoxide reductase; PFAM: Methionine sulfoxide reductase A; Methionine sulfoxide reductase B; KEGG: bfr:BF3573 bifunctional methionine sulfoxide reductase A/B protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.998) with cleavage site probability 0.803 at residue 32
1082693	1083208	-	516	Amuc_0907	CDS	hypothetical protein	-	-
1083348	1085591	+	2244	Amuc_0908	CDS	hypothetical protein	KEGG: bth:BT_4244 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.989) with cleavage site probability 0.945 at residue 27
1085664	1086779	-	1116	Amuc_0909	CDS	protein of unknown function UPF0027	PFAM: protein of unknown function UPF0027; KEGG: cbe:Cbei_3556 protein of unknown function UPF0027	-
1086910	1087827	+	918	Amuc_0910	CDS	transcriptional regulator, LysR family	PFAM: regulatory protein LysR; LysR substrate-binding; KEGG: psb:Psyr_2671 regulatory protein, LysR:LysR, substrate-binding	-
1087839	1089071	-	1233	Amuc_0911	CDS	major facilitator superfamily MFS_1	PFAM: major facilitator superfamily MFS_1; KEGG: pdi:BDI_2032 putative transmembrane transport protein	-
1089172	1089921	-	750	Amuc_0912	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.702) with cleavage site probability 0.383 at residue 25
1090068	1090625	+	558	Amuc_0913	CDS	ATP/cobalamin adenosyltransferase	TIGRFAM: ATP/cobalamin adenosyltransferase; PFAM: cobalamin adenosyltransferase; KEGG: rrs:RoseRS_1980 ATP--cobalamin adenosyltransferase	-
1090786	1091124	-	339	Amuc_0914	CDS	Cupin 2 conserved barrel domain protein	PFAM: Cupin 2 conserved barrel domain protein; KEGG: ckl:CKL_0064 hypothetical protein	-
1091430	1093700	-	2271	Amuc_0915	CDS	VacB and RNase II family 3'-5' exoribonuclease	KEGG: csc:Csac_1321 ribonuclease R; TIGRFAM: VacB and RNase II family 3'-5' exoribonuclease; PFAM: ribonuclease II	-
1093987	1094265	+	279	Amuc_0916	CDS	hypothetical protein	-	-
1094295	1096802	-	2508	Amuc_0917	CDS	peptidase U32	PFAM: peptidase U32; KEGG: cya:CYA_0765 peptidase, U32 family	-
1096830	1098044	-	1215	Amuc_0918	CDS	FolC bifunctional protein	KEGG: afw:Anae109_2510 FolC bifunctional protein; TIGRFAM: FolC bifunctional protein; PFAM: cytoplasmic peptidoglycan synthetase domain protein; Mur ligase middle domain protein	-
1098103	1098208	-	106	Amuc_R0031	ncRNA	SRP_RNA	cove score=50.19; srp RNA	-
1098255	1099271	-	1017	Amuc_0919	CDS	hypothetical protein	KEGG: ehi:42.t00003 hypothetical protein Pfam: TolA PROSITE: ARG_RICH GLU_RICH LYS_RICH PRO_RICH SER_RICH THR_RICH	-
1099438	1100859	+	1422	Amuc_0920	CDS	oxidoreductase domain protein	PFAM: oxidoreductase domain protein; KEGG: sbm:Shew185_2813 oxidoreductase domain protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.999) with cleavage site probability 0.901 at residue 32
1100933	1103620	-	2688	Amuc_0921	CDS	Non-specific serine/threonine protein kinase	KEGG: gur:Gura_0598 non-specific serine/threonine protein kinase; PFAM: SNF2-related protein; helicase domain protein; SMART: DEAD-like helicases	-
1103658	1105115	-	1458	Amuc_0922	CDS	metallophosphoesterase	PFAM: metallophosphoesterase; 5'-Nucleotidase domain protein; KEGG: bcl:ABC1445 5'-nucleotidase	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.999) with cleavage site probability 0.992 at residue 21
1105158	1105679	-	522	Amuc_0923	CDS	rare lipoprotein A	TIGRFAM: rare lipoprotein A; PFAM: Rare lipoprotein A; KEGG: hch:HCH_05840 lipoprotein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.691) with cleavage site probability 0.372 at residue 26
1105799	1106683	+	885	Amuc_0924	CDS	ATP-NAD/AcoX kinase	PFAM: ATP-NAD/AcoX kinase; KEGG: tdn:Tmden_1085 NAD(+) kinase	-
1106907	1107134	+	228	Amuc_0925	CDS	KOW domain protein	PFAM: KOW domain protein; KEGG: lic:LIC12862 50S ribosomal protein L24	-
1107201	1107782	+	582	Amuc_0926	CDS	ribosomal protein L5	PFAM: ribosomal protein L5; KEGG: cbl:CLK_2912 ribosomal protein L5	-
1107795	1108196	+	402	Amuc_0927	CDS	ribosomal protein S8	PFAM: ribosomal protein S8; KEGG: lbu:LBUL_0364 30S ribosomal protein S8	-
1108218	1108757	+	540	Amuc_0928	CDS	ribosomal protein L6	PFAM: ribosomal protein L6; KEGG: lwe:lwe2567 50S ribosomal protein L6	-
1108793	1109155	+	363	Amuc_0929	CDS	ribosomal protein L18	TIGRFAM: ribosomal protein L18; PFAM: ribosomal protein L18P/L5E; KEGG: sus:Acid_5102 ribosomal protein L18	-
1109349	1109834	+	486	Amuc_0930	CDS	ribosomal protein S5	TIGRFAM: ribosomal protein S5; PFAM: ribosomal protein S5 domain protein; Ribosomal protein S5; KEGG: dau:Daud_0242 ribosomal protein S5	-
1109897	1110355	+	459	Amuc_0931	CDS	ribosomal protein L15	PFAM: ribosomal protein L15; KEGG: sth:STH3056 50S ribosomal protein L15	-
1110377	1110499	+	123	Amuc_0932	CDS	hypothetical protein	-	-
1110496	1111998	+	1503	Amuc_0933	CDS	preprotein translocase, SecY subunit	TIGRFAM: preprotein translocase, SecY subunit; PFAM: SecY protein; KEGG: pcu:pc0430 preprotein translocase subunit SecY	-
1112026	1112676	+	651	Amuc_0934	CDS	adenylate kinase	PFAM: adenylate kinase; KEGG: csc:Csac_2267 nucleoside-triphosphate--adenylate kinase	-
1112690	1113487	+	798	Amuc_0935	CDS	methionine aminopeptidase, type I	KEGG: dau:Daud_0246 methionine aminopeptidase, type I; TIGRFAM: methionine aminopeptidase, type I; PFAM: peptidase M24	-
1113506	1114573	+	1068	Amuc_0936	CDS	hypothetical protein	KEGG: bth:BT_2869 putative succinyltransferase involved in succinoglycan biosynthesis	-
1114739	1116295	+	1557	Amuc_0937	CDS	metal dependent phosphohydrolase	PFAM: metal-dependent phosphohydrolase HD sub domain; KEGG: rba:RB12081 exopolyphosphatase	-
1116331	1118418	+	2088	Amuc_0938	CDS	Polyphosphate kinase	PFAM: Polyphosphate kinase; KEGG: rba:RB9470 polyphosphate kinase	-
1118530	1119645	-	1116	Amuc_0939	CDS	glycosyl transferase family 8	PFAM: glycosyl transferase family 8; KEGG: lca:LSEI_1034 lipopolysaccharide biosynthesis glycosyltransferase	-
1119855	1121204	-	1350	Amuc_0940	CDS	hypothetical protein	-	-
1121219	1122349	-	1131	Amuc_0941	CDS	glycosyl transferase family 2	PFAM: glycosyl transferase family 2; KEGG: bwe:BcerKBAB4_3393 glycosyl transferase family 2	-
1122373	1123245	-	873	Amuc_0942	CDS	glycosyl transferase family 11	PFAM: glycosyl transferase family 11; KEGG: tel:tll0994 alpha-1,2-fucosyltransferase	-
1123289	1124344	-	1056	Amuc_0943	CDS	glycosyl transferase family 2	PFAM: glycosyl transferase family 2; KEGG: bfs:BF3815 putative LPS biosynthesis-related glycosyltransferase	-
1124341	1125540	-	1200	Amuc_0944	CDS	conserved hypothetical protein	KEGG: dvl:Dvul_2390 hypothetical protein	-
1125947	1127023	+	1077	Amuc_0945	CDS	glycosyl transferase family 2	PFAM: glycosyl transferase family 2; KEGG: bld:BLi03685 YveT	-
1127105	1127668	-	564	Amuc_0946	CDS	DJ-1 family protein	TIGRFAM: DJ-1 family protein; PFAM: ThiJ/PfpI domain protein; KEGG: cbl:CLK_2154 DJ-1 family protein	-
1127732	1128772	-	1041	Amuc_0947	CDS	biotin/lipoyl attachment domain-containing protein	PFAM: biotin/lipoyl attachment domain-containing protein; E3 binding domain protein; KEGG: nwi:Nwi_1816 dihydrolipoamide acetyltransferase, long form	-
1128857	1130005	-	1149	Amuc_0948	CDS	N-acetylglucosamine-6-phosphate deacetylase	TIGRFAM: N-acetylglucosamine-6-phosphate deacetylase; PFAM: amidohydrolase; KEGG: cbe:Cbei_4564 N-acetylglucosamine-6-phosphate deacetylase	-
1130150	1130743	-	594	Amuc_0949	CDS	Peptidylprolyl isomerase	PFAM: peptidyl-prolyl cis-trans isomerase cyclophilin type; KEGG: tpa:TP0947 peptidyl-prolyl cis-trans isomerase, cyclophilin-binding (cyp)	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.990 at residue 23
1130901	1132244	-	1344	Amuc_0950	CDS	hypothetical protein	KEGG: ppd:Ppro_3365 2-acyl-glycerophospho-ethanolamine acyltransferase	-
1132249	1133721	-	1473	Amuc_0951	CDS	carbon starvation protein CstA	PFAM: carbon starvation protein CstA; KEGG: bvu:BVU_0088 carbon starvation protein A	-
1134049	1134807	+	759	Amuc_0952	CDS	hypothetical protein	KEGG: nar:Saro_3802 outer membrane autotransporter barrel domain	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.833 at residue 21
1134988	1139232	+	4245	Amuc_0953	CDS	sulfatase	PFAM: sulfatase; PA14 domain protein; KEGG: rba:RB3309 N-acetylgalactosamine 6-sulfatase (GALNS)	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.668 at residue 23
1139263	1139406	+	144	Amuc_0954	CDS	hypothetical protein	-	-
1139421	1139798	-	378	Amuc_0955	CDS	ribosome-binding factor A	PFAM: ribosome-binding factor A; KEGG: cbh:CLC_2264 ribosome-binding factor A	-
1139940	1141991	-	2052	Amuc_0956	CDS	translation initiation factor IF-2	TIGRFAM: translation initiation factor IF-2; small GTP-binding protein; PFAM: protein synthesis factor GTP-binding; elongation factor Tu domain 2 protein; translation initiation factor IF-2 domain protein; KEGG: tte:TTE1393 translation initiation factor IF-2	-
1142034	1143329	-	1296	Amuc_0957	CDS	NusA antitermination factor	TIGRFAM: transcription termination factor NusA; PFAM: RNA binding S1 domain protein; NusA domain protein; KEGG: rle:RL0127 transcription elongation factor NusA	-
1143584	1144345	+	762	Amuc_0958	CDS	exodeoxyribonuclease III Xth	KEGG: cth:Cthe_0458 exodeoxyribonuclease III Xth; TIGRFAM: exodeoxyribonuclease III; exodeoxyribonuclease III Xth; PFAM: Endonuclease/exonuclease/phosphatase	-
1144360	1145004	+	645	Amuc_0959	CDS	Ham1 family protein	PFAM: Ham1 family protein; KEGG: gka:GK2665 hypothetical protein	-
1145036	1145743	-	708	Amuc_0960	CDS	putative rRNA methylase	PFAM: putative rRNA methylase; KEGG: ppd:Ppro_0564 putative rRNA methylase	-
1145841	1146689	+	849	Amuc_0961	CDS	protein of unknown function DUF362	PFAM: protein of unknown function DUF362; KEGG: pdi:BDI_0776 hypothetical protein	-
1146758	1148524	+	1767	Amuc_0962	CDS	4Fe-4S ferredoxin iron-sulfur binding domain protein	PFAM: 4Fe-4S ferredoxin iron-sulfur binding domain protein; KEGG: pdi:BDI_0775 ferredoxin-type protein	-
1148831	1150603	+	1773	Amuc_0963	CDS	ABC transporter related	PFAM: ABC transporter related; ABC-2 type transporter; SMART: AAA ATPase; KEGG: sco:SCO1806 ABC transporter ATP-binding protein	-
1150657	1151088	+	432	Amuc_0964	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.987 at residue 30
1151124	1152998	+	1875	Amuc_0965	CDS	hypothetical protein	KEGG: pcl:Pcal_0801 hypothetical protein	-
1153070	1153816	+	747	Amuc_0966	CDS	conserved hypothetical protein	KEGG: gvi:gll0911 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.999 at residue 25
1154023	1154688	-	666	Amuc_0967	CDS	RNP-1 like RNA-binding protein	PFAM: RNP-1 like RNA-binding protein; KEGG: pvi:Cvib_0890 RNP-1 like RNA-binding protein	-
1155091	1156467	+	1377	Amuc_0968	CDS	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase	KEGG: ade:Adeh_2766 undecaprenyl-phosphate galactosephosphotransferase; TIGRFAM: exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase; PFAM: sugar transferase	-
1156686	1157864	+	1179	Amuc_0969	CDS	galactokinase	TIGRFAM: galactokinase; PFAM: GHMP kinase; GHMP kinase domain protein; KEGG: cme:CMN198C galactokinase	-
1157874	1160171	+	2298	Amuc_0970	CDS	SSS sodium solute transporter superfamily	TIGRFAM: SSS sodium solute transporter superfamily; PFAM: Na+/solute symporter; KEGG: vfi:VFA0351 sodium-glucose/galactose cotransporter	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.950 at residue 22
1160384	1162390	-	2007	Amuc_0971	CDS	UvrD/REP helicase	PFAM: UvrD/REP helicase; KEGG: gme:Gmet_2724 UvrD/REP helicase	-
1162391	1163335	-	945	Amuc_0972	CDS	methionyl-tRNA formyltransferase	TIGRFAM: methionyl-tRNA formyltransferase; PFAM: formyl transferase domain protein; KEGG: maq:Maqu_0042 methionyl-tRNA formyltransferase	-
1163546	1164673	+	1128	Amuc_0973	CDS	Monogalactosyldiacylglycerol synthase	PFAM: Monogalactosyldiacylglycerol synthase; KEGG: drm:Dred_1966 monogalactosyldiacylglycerol synthase	-
1164679	1165407	+	729	Amuc_0974	CDS	putative transcriptional acitvator, Baf family	TIGRFAM: transcriptional activator, Baf family; PFAM: Bvg accessory factor; KEGG: det:DET0428 transcriptional activator, putative	-
1165539	1165781	+	243	Amuc_0975	CDS	acyl carrier protein	TIGRFAM: acyl carrier protein; PFAM: phosphopantetheine-binding; KEGG: aae:aq_1717a acyl carrier protein	-
1165850	1166419	+	570	Amuc_0976	CDS	hypothetical protein	KEGG: deb:DehaBAV1_0739 hypothetical protein	-
1166424	1167152	+	729	Amuc_0977	CDS	hypothetical protein	-	-
1167149	1167601	+	453	Amuc_0978	CDS	D-tyrosyl-tRNA(Tyr) deacylase	PFAM: D-tyrosyl-tRNA(Tyr) deacylase; KEGG: bfr:BF0097 D-tyrosyl-tRNA deacylase	-
1167770	1168213	-	444	Amuc_0979	pseduogene	pseduogene	-	-
1169062	1169330	-	269	Amuc_0980	pseduogene	pseduogene	-	-
1169390	1169839	-	450	Amuc_0981	pseduogene	pseduogene	-	-
1169843	1170697	-	855	Amuc_0982	CDS	hypothetical protein	KEGG: dol:Dole_2046 YD repeat protein	-
1171299	1177088	-	5790	Amuc_0983	CDS	YD repeat protein	TIGRFAM: YD repeat protein; PFAM: YD repeat-containing protein; KEGG: dol:Dole_2050 YD repeat protein	-
1177646	1178413	-	768	Amuc_0984	CDS	4Fe-4S ferredoxin iron-sulfur binding domain protein	PFAM: ferredoxin; 4Fe-4S ferredoxin iron-sulfur binding domain protein; KEGG: cau:Caur_1880 4Fe-4S ferredoxin iron-sulfur binding domain protein	-
1178454	1180412	-	1959	Amuc_0985	CDS	succinate dehydrogenase or fumarate reductase, flavoprotein subunit	KEGG: cau:Caur_1881 succinate dehydrogenase or fumarate reductase, flavoprotein subunit; TIGRFAM: succinate dehydrogenase or fumarate reductase, flavoprotein subunit; PFAM: fumarate reductase/succinate dehydrogenase flavoprotein domain protein; FAD dependent oxidoreductase	-
1180434	1181135	-	702	Amuc_0986	CDS	succinate dehydrogenase (or fumarate reductase) cytochrome b subunit, b558 family	TIGRFAM: succinate dehydrogenase (or fumarate reductase) cytochrome b subunit, b558 family; KEGG: gme:Gmet_2397 succinate dehydrogenase, cytochrome b558 subunit	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.617) with cleavage site probability 0.337 at residue 38
1181336	1181608	+	273	Amuc_0987	CDS	conserved hypothetical protein	KEGG: dge:Dgeo_2473 hypothetical protein	-
1181611	1182426	+	816	Amuc_0988	CDS	TatD-related deoxyribonuclease	PFAM: TatD-related deoxyribonuclease; KEGG: hau:Haur_1555 TatD-related deoxyribonuclease	-
1182460	1182693	-	234	Amuc_0989	CDS	hypothetical protein	KEGG: bld:BLi01519 YkvA	-
1183125	1183832	-	708	Amuc_0990	CDS	hypothetical protein	KEGG: bpm:BURPS1710b_A0463 putative membrane-anchored cell surface protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.997 at residue 21
1184127	1184867	+	741	Amuc_0991	CDS	hypothetical protein	KEGG: bmu:Bmul_4115 outer membrane autotransporter barrel domain protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.964 at residue 21
1185085	1185504	-	420	Amuc_0992	pseduogene	pseduogene	-	-
1185518	1186723	-	1206	Amuc_0993	CDS	protein of unknown function DUF323	PFAM: protein of unknown function DUF323; KEGG: rba:RB11811 hypothetical protein	-
1186747	1187493	-	747	Amuc_0994	CDS	3-oxoacyl-(acyl-carrier-protein) reductase	TIGRFAM: 3-oxoacyl-(acyl-carrier-protein) reductase; PFAM: NAD-dependent epimerase/dehydratase; short-chain dehydrogenase/reductase SDR; KR domain protein; KEGG: drm:Dred_2072 3-oxoacyl-(acyl-carrier-protein) reductase	-
1187620	1188138	-	519	Amuc_0995	CDS	hypothetical protein	KEGG: sae:NWMN_1344 cell wall associated fibronectin-binding protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.379 at residue 35
1188201	1189811	-	1611	Amuc_0996	CDS	ABC transporter related	PFAM: ABC transporter related; SMART: AAA ATPase; KEGG: deh:cbdb_A226 ABC transporter, ATP-binding protein	-
1189934	1190641	+	708	Amuc_0997	CDS	hypothetical protein	KEGG: wsu:WS1743 hypothetical protein	-
1190851	1190979	-	129	Amuc_0998	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.999) with cleavage site probability 0.403 at residue 23
1191193	1191786	-	594	Amuc_0999	CDS	sigma 54 modulation protein/ribosomal protein S30EA	TIGRFAM: ribosomal subunit interface protein; PFAM: sigma 54 modulation protein/ribosomal protein S30EA; KEGG: pca:Pcar_1937 ribosome-associated protein Y (PSrp-1)	-
1192135	1192211	+	77	Amuc_R0032	tRNA	tRNA-Met	-	-
1192259	1192639	+	381	Amuc_1000	pseduogene	pseduogene	-	-
1192801	1193706	-	906	Amuc_1001	CDS	short-chain dehydrogenase/reductase SDR	PFAM: short-chain dehydrogenase/reductase SDR; KEGG: bfs:BF2136 short chain dehydrogenase	-
1193888	1195174	-	1287	Amuc_1002	CDS	Carboxymuconolactone decarboxylase	PFAM: Carboxymuconolactone decarboxylase; KEGG: gur:Gura_4370 cupin 2, conserved barrel domain protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.364 at residue 20
1195193	1196326	-	1134	Amuc_1003	CDS	hydrolase of the alpha/beta superfamily	KEGG: ypy:YPK_2191 hydrolases of the alpha/beta superfamily	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.999) with cleavage site probability 0.996 at residue 23
